iter	RMSE
0	5.257368441
1	5.231075438
2	5.201067686
3	5.17312829
4	5.145179435
5	5.120382456
6	5.096749004
7	5.070360661
8	5.047155721
9	5.019435642
10	4.999474627
11	4.97475751
12	4.948723784
13	4.922066304
14	4.898733708
15	4.874544132
16	4.849710388
17	4.827587465
18	4.803860495
19	4.778233653
20	4.756426301
21	4.733632914
22	4.709635206
23	4.685304866
24	4.659747783
25	4.646400028
26	4.621236014
27	4.598777893
28	4.57656664
29	4.560050334
30	4.535337329
31	4.515384547
32	4.491353973
33	4.469657788
34	4.446369739
35	4.42224147
36	4.401500079
37	4.380505986
38	4.357718575
39	4.33909425
40	4.316850755
41	4.29429875
42	4.271602064
43	4.24837025
44	4.226708075
45	4.2082199
46	4.189594844
47	4.170083243
48	4.150374847
49	4.129089873
50	4.110631403
51	4.094299846
52	4.075791987
53	4.054641116
54	4.036608129
55	4.018855699
56	4.00184029
57	3.98158838
58	3.959938974
59	3.93950842
60	3.921949914
61	3.901563017
62	3.881295582
63	3.861729506
64	3.842285612
65	3.822600135
66	3.806393213
67	3.787897933
68	3.768308762
69	3.75227854
70	3.733737478
71	3.716528815
72	3.698851192
73	3.682205419
74	3.666823303
75	3.652358426
76	3.63652626
77	3.617652554
78	3.6000185
79	3.584344082
80	3.567446048
81	3.549542465
82	3.532736922
83	3.518983494
84	3.502752824
85	3.490431532
86	3.475585081
87	3.459012054
88	3.442905018
89	3.427255807
90	3.413611067
91	3.396496565
92	3.385787293
93	3.370276171
94	3.356493262
95	3.350654416
96	3.337495807
97	3.322050237
98	3.306378204
99	3.292812346
100	3.279270369
101	3.264210122
102	3.249896462
103	3.233612878
104	3.220052052
105	3.203580332
106	3.189112377
107	3.176928484
108	3.163059674
109	3.152813514
110	3.138613515
111	3.126330313
112	3.113299908
113	3.099276072
114	3.090154915
115	3.0780096
116	3.064886432
117	3.051666008
118	3.037424316
119	3.024744893
120	3.011627004
121	2.99919446
122	2.984263203
123	2.974299774
124	2.962689208
125	2.951262863
126	2.939139197
127	2.925679657
128	2.915392096
129	2.904315457
130	2.892943229
131	2.879152229
132	2.868621826
133	2.856210092
134	2.844027659
135	2.834048329
136	2.822996669
137	2.812136754
138	2.799557358
139	2.78727953
140	2.776430022
141	2.769688754
142	2.763455302
143	2.752364266
144	2.74155785
145	2.73057298
146	2.71906945
147	2.708130605
148	2.695179335
149	2.6866872
150	2.67726345
151	2.667079312
152	2.655510023
153	2.650833616
154	2.640025007
155	2.629537827
156	2.619852332
157	2.608123432
158	2.598062429
159	2.590230839
160	2.58048058
161	2.568583565
162	2.558652196
163	2.551523084
164	2.543239921
165	2.533626999
166	2.526206983
167	2.517467832
168	2.509733638
169	2.502611522
170	2.492426975
171	2.484257395
172	2.474426328
173	2.46575324
174	2.458234075
175	2.447884604
176	2.438890788
177	2.430537758
178	2.421183488
179	2.414783381
180	2.410732474
181	2.401026907
182	2.390927707
183	2.383043067
184	2.375583873
185	2.366900436
186	2.358083633
187	2.349769798
188	2.342554272
189	2.334185331
190	2.325292474
191	2.318077935
192	2.311709231
193	2.304065428
194	2.295850159
195	2.288733065
196	2.27962412
197	2.271226338
198	2.264198574
199	2.259465281
200	2.253288489
201	2.246846805
202	2.239216174
203	2.231112419
204	2.223982545
205	2.216844713
206	2.209372751
207	2.203231728
208	2.195413086
209	2.188421891
210	2.182122499
211	2.175880566
212	2.168715854
213	2.166946013
214	2.160345777
215	2.152600598
216	2.144489751
217	2.138418568
218	2.13169898
219	2.125805084
220	2.118672821
221	2.111778105
222	2.104916022
223	2.098059224
224	2.092304526
225	2.085615563
226	2.078020313
227	2.072044557
228	2.06531614
229	2.061672016
230	2.055813526
231	2.049010361
232	2.042669963
233	2.036176394
234	2.030312701
235	2.024282342
236	2.019604642
237	2.014224294
238	2.008155936
239	2.002720602
240	1.996972318
241	1.995187506
242	1.98952143
243	1.984664515
244	1.979906951
245	1.974447508
246	1.969372801
247	1.963012027
248	1.958862214
249	1.954647219
250	1.951406001
251	1.947425337
252	1.942395408
253	1.937646257
254	1.933227349
255	1.928153202
256	1.925140254
257	1.919860442
258	1.914147541
259	1.907762028
260	1.901932126
261	1.896999179
262	1.890948524
263	1.88539141
264	1.879264891
265	1.873232026
266	1.86704352
267	1.860732138
268	1.855128912
269	1.849283484
270	1.844657199
271	1.840160436
272	1.835116852
273	1.830383137
274	1.823855836
275	1.818301822
276	1.814052613
277	1.807952666
278	1.802798071
279	1.798467384
280	1.793716892
281	1.789273663
282	1.785422071
283	1.7808711
284	1.776137554
285	1.771378477
286	1.76621765
287	1.763112365
288	1.758258046
289	1.753752648
290	1.749319003
291	1.744423282
292	1.740561264
293	1.735423774
294	1.730376044
295	1.726336058
296	1.721868033
297	1.717314732
298	1.713553367
299	1.709264559
300	1.705582305
301	1.70074716
302	1.699514422
303	1.695520687
304	1.694420024
305	1.690432836
306	1.686218032
307	1.682802747
308	1.678283194
309	1.673494991
310	1.669523285
311	1.666383863
312	1.661936753
313	1.658837764
314	1.655246192
315	1.652106633
316	1.648457339
317	1.646358719
318	1.642064102
319	1.637907998
320	1.63428723
321	1.631369484
322	1.62761976
323	1.624087967
324	1.61925933
325	1.615755386
326	1.611954725
327	1.608021801
328	1.603595995
