iter	Passed	Remaining
0	4	4179
1	4	2277
2	4	1642
3	5	1385
4	6	1231
5	6	1105
6	7	1000
7	7	938
8	8	888
9	8	839
10	8	801
11	9	790
12	10	765
13	10	733
14	10	710
15	11	692
16	11	674
17	12	658
18	12	639
19	12	623
20	13	613
21	13	603
22	14	596
23	14	593
24	15	587
25	15	581
26	15	571
27	16	561
28	16	559
29	17	554
30	17	552
31	18	548
32	18	548
33	19	551
34	20	553
35	20	552
36	21	548
37	21	545
38	21	539
39	22	538
40	22	531
41	23	529
42	23	523
43	23	520
44	24	518
45	24	516
46	25	513
47	25	515
48	26	511
49	26	506
50	26	501
51	27	497
52	27	493
53	27	489
54	28	487
55	28	485
56	29	481
57	29	478
58	29	475
59	30	473
60	30	470
61	30	467
62	31	465
63	31	464
64	32	461
65	32	458
66	33	459
67	33	458
68	33	457
69	34	455
70	34	452
71	34	450
72	35	448
73	35	447
74	36	444
75	36	442
76	36	439
77	37	437
78	37	435
79	37	433
80	38	431
81	38	429
82	38	427
83	39	426
84	39	426
85	40	425
86	40	425
87	41	425
88	41	423
89	41	421
90	42	420
91	42	418
92	42	416
93	43	416
94	43	414
95	43	413
96	44	412
97	44	411
98	45	410
99	45	408
100	45	407
101	46	407
102	46	406
103	47	407
104	47	406
105	48	405
106	48	404
107	48	403
108	49	402
109	49	402
110	50	400
111	50	399
112	50	398
113	51	397
114	51	395
115	51	395
116	52	393
117	52	393
118	53	393
119	53	391
120	53	391
121	54	390
122	54	389
123	55	388
124	55	388
125	55	387
126	56	387
127	56	386
128	57	385
129	57	384
130	57	383
131	58	382
132	58	381
133	58	380
134	59	379
135	59	379
136	60	378
137	60	377
138	60	376
139	61	376
140	61	375
141	61	373
142	62	373
143	62	372
144	63	371
145	63	370
146	63	370
147	64	370
148	64	369
149	65	368
150	65	367
151	65	366
152	66	365
153	66	364
154	66	364
155	67	363
156	67	363
157	68	362
158	68	361
159	68	360
160	69	359
161	69	358
162	69	358
163	70	357
164	70	356
165	70	356
166	71	356
167	71	355
168	72	354
169	72	354
170	72	353
171	73	353
172	74	356
173	74	355
174	75	355
175	75	354
176	76	353
177	76	352
178	76	352
179	77	352
180	77	351
181	78	350
182	78	349
183	78	349
184	79	348
185	79	347
186	79	346
187	79	345
188	80	344
189	80	343
190	81	343
191	81	342
192	81	341
193	82	341
194	82	341
195	83	340
196	83	340
197	83	339
198	84	338
199	84	337
200	84	337
201	85	336
202	85	336
203	86	335
204	86	334
205	86	333
206	87	333
207	87	333
208	87	332
209	88	331
210	88	331
211	88	330
212	89	329
213	89	329
214	89	328
215	90	327
216	90	327
217	91	327
218	91	326
219	91	326
220	92	325
221	92	324
222	93	324
223	93	323
224	93	323
225	94	322
226	94	321
227	94	321
228	95	320
229	95	320
230	95	319
231	96	319
232	96	318
233	97	318
234	97	317
235	97	317
236	98	316
237	98	316
238	99	315
239	99	315
240	99	314
241	100	314
242	100	313
243	101	313
244	102	314
245	102	314
246	102	313
247	103	313
248	103	312
249	103	311
250	104	311
251	104	310
252	105	310
253	105	309
254	105	308
255	106	308
256	106	308
257	107	308
258	107	307
259	108	307
260	108	307
261	108	306
262	109	305
263	109	305
264	109	304
265	110	304
266	110	303
267	110	302
268	111	302
269	111	301
270	112	301
271	112	300
272	112	300
273	113	299
274	113	299
275	113	298
276	114	297
277	114	297
278	114	297
279	115	296
280	115	295
281	115	295
282	116	294
283	116	294
284	117	294
285	117	293
286	118	293
287	118	292
288	118	292
289	119	291
290	119	291
291	119	290
292	120	290
293	120	289
294	120	289
295	121	288
296	121	287
297	121	287
298	122	287
299	122	286
300	123	285
301	123	285
302	123	284
303	124	284
304	124	283
305	124	283
306	125	282
307	125	282
308	126	282
309	126	281
310	126	280
311	127	280
312	127	279
313	127	279
314	128	278
315	128	278
316	128	277
317	129	277
318	129	276
319	129	275
320	130	275
321	130	274
322	130	274
323	131	274
324	131	273
325	132	272
326	132	272
327	132	272
328	133	271
329	133	271
330	134	270
331	134	270
332	134	269
333	135	269
334	135	269
335	135	268
336	136	268
337	136	267
338	137	267
339	137	266
340	137	266
341	138	265
342	138	265
343	138	264
344	139	264
345	139	263
346	139	263
347	140	262
348	140	262
349	140	261
350	141	261
351	141	260
352	141	260
353	142	259
354	142	259
355	142	258
356	143	257
357	143	257
358	143	256
359	144	256
360	144	255
361	144	255
362	145	254
363	145	254
364	145	253
365	146	253
366	146	253
367	147	252
368	147	252
369	147	251
370	148	251
371	148	251
372	149	250
373	149	250
374	149	249
375	149	248
376	150	248
377	150	247
378	151	247
379	151	246
380	151	246
381	152	245
382	152	245
383	152	244
384	153	244
385	153	244
386	153	243
387	154	243
388	154	242
389	154	242
390	155	241
391	155	241
392	155	240
393	156	240
394	156	240
395	157	239
396	157	239
397	157	238
398	158	238
399	158	237
400	158	237
401	159	236
402	159	236
403	159	235
404	160	235
405	160	235
406	161	234
407	161	234
408	161	233
409	162	233
410	162	232
411	162	232
412	163	231
413	163	231
414	163	231
415	164	230
416	164	230
417	165	229
418	165	229
419	165	229
420	166	228
421	166	228
422	166	227
423	167	227
424	167	226
425	168	226
426	168	226
427	168	225
428	169	225
429	169	224
430	170	224
431	170	224
432	170	223
433	171	223
434	171	222
435	171	222
436	172	221
437	172	221
438	173	221
439	173	220
440	173	220
441	173	219
442	174	219
443	174	218
444	175	218
445	175	217
446	175	217
447	176	217
448	176	216
449	176	216
450	177	215
451	177	215
452	178	215
453	178	214
454	178	214
455	179	213
456	179	213
457	180	213
458	180	212
459	180	212
460	181	211
461	181	211
462	181	210
463	182	210
464	182	210
465	182	209
466	183	209
467	183	208
468	184	208
469	184	208
470	185	207
471	185	207
472	185	206
473	186	206
474	186	206
475	186	205
476	187	205
477	187	204
478	187	204
479	188	204
480	188	203
481	189	203
482	189	203
483	190	202
484	190	201
485	190	201
486	191	201
487	191	200
488	191	200
489	192	200
490	192	199
491	193	199
492	193	199
493	194	198
494	194	198
495	194	198
496	195	197
497	195	196
498	195	196
499	196	196
500	196	195
501	197	195
502	197	194
503	197	194
504	198	194
505	198	193
506	198	193
507	199	192
508	199	192
509	200	192
510	200	191
511	201	191
512	201	191
513	202	191
514	202	190
515	202	190
516	203	189
517	203	189
518	204	189
519	204	188
520	204	188
521	205	187
522	205	187
523	205	187
524	206	186
525	206	186
526	207	185
527	207	185
528	207	185
529	208	184
530	208	184
531	209	184
532	209	183
533	210	183
534	210	182
535	210	182
536	211	182
537	211	181
538	211	180
539	211	180
540	212	179
